"Total energy consumption, billion Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 NV ,87617,100725,108573,118670,128628,125061,139218,144122,157238,169732,182916,193870,209569,225133,224082,228785,241868,250217,273496,286643,281546,277180,278926,288937,289442,292696,292872,321094,344745,377634,394592,402012,417828,439144,478446,491511,535413,537352,554912,578338,603315,609458,603491,633191,667681,687650,719850,709143,674324,624799,669780,656117,650980,665141,667599,654144,676850,699273,714668,715008,643507,687606,706539,689433
 NY ,2914062,3016727,3150784,3221952,3294366,3568359,3772403,3849083,3949912,4086229,4190449,4133363,4155515,4305711,4005848,3807220,4116948,4111550,4093007,3871143,3762828,3577832,3415363,3229532,3288883,3407622,3450061,3568406,3668613,3672818,3568067,3508914,3588577,3604951,3557921,3609870,3735534,3799956,3738533,3887014,3966053,3859806,3854372,3992726,4094407,3977272,3687714,3785871,3691737,3503947,3690774,3557476,3412306,3543324,3651925,3655768,3578728,3559511,3733207,3630879,3141560,3344919,3455050,3436991
 OH ,2904700,2809331,2941625,3023875,3123375,3273340,3449182,3441912,3609850,3745443,3824828,3756896,4008084,4098228,4064582,3853767,4087540,4101157,4159091,4146177,3845609,3749271,3399416,3324778,3523339,3512900,3480380,3611227,3760180,3846114,3807991,3806874,3853846,3904883,4011173,4091597,4164743,4145594,4065311,4218414,4259607,3999662,3939151,4007179,4039591,4069541,3911618,4037709,3987333,3651766,3774055,3728725,3580052,3657072,3761488,3659083,3610452,3556367,3697336,3578240,3350439,3491975,3515032,3381273
 OK ,570253,571668,679452,755827,789094,759172,729559,746296,826054,866037,918230,942838,994638,999851,1035404,1041759,1136324,1203198,1238677,1294922,1184801,1218882,1280027,1275509,1286192,1265482,1171141,1229995,1267959,1296947,1373988,1309387,1318460,1371540,1386250,1359274,1424141,1425632,1426637,1411593,1471342,1492091,1446109,1477033,1455534,1507364,1553651,1546213,1550694,1460984,1542211,1537902,1515448,1542829,1604125,1538143,1512185,1514805,1582673,1541326,1443997,1490656,1519985,1519146
 OR ,448836,462845,485305,504524,553155,564303,603370,615524,661493,699391,719933,761404,803933,821882,798882,826807,847915,857121,915806,940450,909316,905885,868760,830013,897725,882005,863838,912212,966215,967840,724030,737561,797636,788803,834131,776033,791719,796072,854246,861362,875026,843152,802635,790533,802333,833558,825499,848545,833313,802266,786172,757856,750369,784796,773334,782114,785750,823286,819942,850720,782885,831873,843766,875020
 PA ,3191998,3083666,3188394,3326333,3519260,3655092,3755282,3730077,3873388,3885484,4011161,3943812,4087324,4193580,4011866,3807038,4064560,4049871,4032978,4153792,3902697,3721527,3262803,3268853,3501839,3345824,3286424,3472305,3643313,3652258,3632889,3574762,3672203,3743720,3815840,3878039,3908529,3878568,3718943,3761268,3930803,3841084,3899649,3943918,3991628,4022884,3892981,3949447,3926058,3608128,3736071,3727655,3623830,3832144,3958079,3873641,3739051,3739767,3901072,3794359,3389382,3615526,3738924,3607506
 RI ,184099,169743,177427,177326,174692,169622,171467,189080,193507,205740,217567,230069,231335,226512,209842,200800,210284,219239,207772,196506,180800,170799,169678,175193,186785,199491,201135,211443,219388,212031,212245,218425,245916,202097,240772,229566,220082,217849,226630,226772,205560,204139,203331,217784,215376,209035,199951,197786,194056,194769,195319,185462,183397,195484,202362,201687,183572,180777,193934,187842,172609,183459,188272,182950
 SC ,470644,486981,518785,540390,538601,533177,572958,579648,630476,672012,718023,749231,801954,852344,821219,804343,929387,972082,959296,950123,962593,967265,929981,959336,1023171,1035203,1097582,1139526,1201940,1202893,1250119,1275640,1291013,1351188,1350728,1405544,1445918,1495020,1538769,1557091,1604585,1555221,1593685,1585456,1697642,1667434,1683303,1662874,1631932,1561124,1652727,1612538,1565404,1585737,1630494,1649793,1646697,1637042,1656463,1621169,1507922,1604086,1628035,1603946
 SD ,126329,128938,133739,137535,140792,136825,143217,142214,149953,156092,164997,166139,175091,172844,168036,176753,190485,193013,200780,199907,185695,174195,185559,179181,182857,189618,189724,190735,201296,209498,192425,189426,194272,214317,204684,204588,209718,204290,206384,212078,226359,231498,244625,249667,262850,283354,286489,308666,330909,330443,334485,319103,324068,347092,344542,344341,337367,344438,353944,351091,338987,348360,353862,347163
 TN ,901868,918819,952585,1002040,1027256,1073130,1169002,1168508,1222239,1272904,1299734,1304583,1407370,1544553,1500823,1530956,1641347,1718508,1692164,1730672,1656048,1630754,1541882,1582505,1664445,1650687,1639259,1660819,1731416,1772389,1730495,1722162,1775827,1815778,1845442,1882763,1974588,1960857,2043128,2103753,2150751,2158909,2174381,2165119,2208080,2272899,2273635,2303132,2235386,2010131,2184446,2115408,2010247,2041771,2127364,2098448,2140236,2068053,2143282,2093393,1940366,2100903,2106213,2058049
 TX ,4360558,4390700,4574179,4826435,4940057,5130088,5473345,5780021,6168197,6536713,6800662,7100513,7484526,8104240,7935781,7353715,7688266,8351949,8780868,9148063,9217160,8985609,8273319,8192171,8735160,8824053,8816504,9079399,9671414,9919203,10079993,10080020,10236320,10339357,10653346,10800158,11572187,11972410,12151583,11778877,12133169,11927025,12216726,12006763,12047529,11505194,11632230,11711410,11153070,10745559,11418060,11623121,11650027,12388867,12355966,12469454,12617682,12739711,13539508,13722915,12981013,13720661,13829881,14137451
 UT ,297816,295102,304207,305867,328529,334068,345393,339353,359857,389180,390387,408040,420848,450046,464636,471087,501641,478962,501158,516471,494529,467798,454466,477021,491118,488948,459147,452427,517229,526248,535789,564864,551440,575833,586381,635710,664944,678299,701774,693588,740298,710796,690668,701636,732464,757644,775083,778099,764169,736713,746590,780468,777194,815970,786800,789707,791464,801129,821269,833570,803893,822925,851390,853951
 VA ,832709,834806,861694,917827,945535,1018832,1089208,1105033,1164157,1198647,1241013,1281610,1334357,1392677,1334947,1310844,1397442,1450021,1470097,1523603,1485275,1469642,1446464,1498929,1580295,1619492,1700064,1797316,1877896,1909264,1947533,1953955,1982330,2056463,2081090,2146979,2185166,2186090,2224990,2286540,2392470,2322159,2345733,2414114,2540898,2616525,2555818,2616980,2514658,2396260,2498119,2378679,2319180,2390087,2445751,2407419,2385837,2363063,2454395,2422690,2239523,2388988,2449868,2435265
 VT ,66721,70058,72746,72658,70042,80804,88469,91481,97423,102983,109479,112832,119600,122307,112344,110238,127498,126197,130588,127700,121597,116913,110606,118391,128061,130508,124431,133973,141384,138924,120223,128363,134610,132284,132305,129962,135643,141458,131927,131361,143500,144411,143803,146619,155954,154552,151182,151660,140092,151042,150027,145839,126929,134383,137285,136341,130462,129063,133191,132716,112635,115518,116167,113104
 WA ,765416,781340,815155,856629,914648,946205,1009305,1055494,1154184,1230966,1232959,1257977,1393380,1434372,1418747,1387483,1439846,1475954,1551259,1601513,1570553,1690429,1586643,1538460,1644647,1656516,1690106,1752210,1893773,1945568,1469535,1455784,1629613,1636746,1639485,1584581,1580328,1588049,1687210,1702632,1702888,1647875,1439872,1455598,1506656,1531850,1573356,1581440,1566324,1549202,1543686,1478475,1486927,1551849,1530291,1563625,1636229,1635421,1627018,1702185,1419318,1525644,1566242,1602662
 WI ,832218,854807,894005,917225,950639,1003599,1065011,1106590,1153728,1214670,1255789,1257505,1252105,1318780,1301845,1301982,1335863,1408203,1464421,1432035,1427550,1386192,1362563,1374286,1440496,1459152,1381904,1368835,1478397,1478803,1468337,1505945,1505076,1567464,1614589,1677031,1736202,1741271,1734589,1825284,1861007,1835152,1869261,1849371,1872654,1940762,1849964,1884986,1874261,1741700,1783684,1767437,1710104,1804267,1852899,1784733,1765872,1782370,1861689,1812444,1660283,1721207,1762186,1656177
 WV ,600357,630635,636728,671815,709893,733287,752206,717477,785300,772288,772652,755096,804673,821736,814750,765574,802869,800616,785151,799019,763814,745647,686216,653467,691602,642175,645031,660813,707825,727047,696077,666303,679096,702357,728995,731109,702811,702526,729892,713456,732445,726547,751113,705288,728468,731143,754206,784759,770619,697144,743395,729519,721739,740591,771980,758971,752461,742075,818371,817732,786352,835873,829676,832806
 WY ,140236,153279,171561,161170,161238,169369,176810,200843,221358,245717,251486,264193,282588,279112,273615,271784,295007,320906,348783,371915,355525,346244,354790,319981,341363,348098,327001,356005,363842,373500,397940,386520,420166,405233,406194,401562,412595,411936,418381,422871,425392,435687,436429,459188,448135,453595,474497,520180,533990,516461,530410,543253,539195,529026,524393,496831,492957,522657,546375,534214,483752,481123,494020,499766
 US ,43935276,44557699,46543126,48409682,50494169,52577565,55573431,57335511,60820699,63791447,65939114,67255613,70744691,73788463,71758674,69810078,73944199,76351470,77987575,78844092,76064555,74195857,70772226,70452934,74177235,74340863,74451441,77112925,81077213,82703379,82277974,82212657,83842847,85220279,87080163,88732046,91474194,92105715,92614839,94212808,96686060,94391208,95582476,95806580,98044608,98108764,97231383,98987749,96657598,91630574,95129103,93969435,91664394,94234417,95322209,94462877,94072893,93892854,97391985,96564778,88857658,93350300,94831564,93557489
